Compound,Date,Negative,Neutral,Positive,Tweet Count,Tweet text,User
0.422,Tue Apr 10 02:47:26 +0000 2018,0.0,0.763,0.237,4,"First time on the new BART trains, nice.  @bart https://t.co/8Lkdo1dt6J",@Bart
0.599,Tue Apr 10 01:30:57 +0000 2018,0.0,0.698,0.302,5,Lmao @bart .. why are you going 2 miles an hour,@Bart
0.0,Mon Apr 09 15:44:12 +0000 2018,0.0,1.0,0.0,6,@Burgercomite_NL @bart @LavieJanRoos @PeterAnshof e.v.a https://t.co/SNZ8mfDlCU,@Bart
0.0,Mon Apr 09 14:01:34 +0000 2018,0.0,1.0,0.0,7,I should start tweeting more about @bart,@Bart
-0.542,Mon Apr 09 14:01:23 +0000 2018,0.304,0.696,0.0,8,"Literally tried rapping ""fuck everybody on this train"" @bart",@Bart
0.0,Mon Apr 09 14:00:36 +0000 2018,0.0,1.0,0.0,9,A 17 year old boy was smoking crack on @bart,@Bart
0.44,Mon Apr 09 12:57:45 +0000 2018,0.0,0.873,0.127,10,@Tamayenboys @bart Once I saw the vests &amp; heard her talking about their training I felt better. Here in CA we’ve go… https://t.co/OoiTYbmaFc,@Bart
0.0,Mon Apr 09 12:04:18 +0000 2018,0.0,1.0,0.0,11,@bart https://t.co/cqyMZ4jOTv,@Bart
-0.402,Mon Apr 09 11:40:45 +0000 2018,0.23,0.67,0.1,12,"@FoodAprecianado @bart Oh, i understand. I have low back problems.  A well trained service dog should never even be… https://t.co/FPtjKFoBUo",@Bart
0.827,Mon Apr 09 11:31:21 +0000 2018,0.0,0.675,0.325,13,@Tamayenboys @bart Gorgeous animal. I’m just skittish after multiple back surgeries in three years. A happy puppy c… https://t.co/oUMf8Qkrk5,@Bart
-0.422,Mon Apr 09 07:19:15 +0000 2018,0.123,0.877,0.0,14,@bart Sadly I see future Medics being trained for a job that doesn't exist &amp; too many young Drs defending status qu… https://t.co/Ap9u2GA0SS,@Bart
-0.727,Sun Apr 08 08:01:00 +0000 2018,0.366,0.545,0.089,15,"RT @DOUGBALDWINFANS: @Bart Hubbuch please unfollow me. You are a biased, unprofessional prick with a east coast cock in your mouth..",@Bart
0.0,Sun Apr 08 02:28:24 +0000 2018,0.0,1.0,0.0,16,On @BART station this on the tracks https://t.co/7h1ssbXUhi,@Bart
0.0,Sat Apr 07 16:29:38 +0000 2018,0.0,1.0,0.0,17,Virtuele coaches en activiteitsensor  voor betere hartrevalidatie https://t.co/TkYqfwa1mY  #HartRevalidatie #eCoach @micbelgique @bart,@Bart
0.0,Sat Apr 07 05:06:29 +0000 2018,0.0,1.0,0.0,18,RT @mmsksie: Amanda Cawston talking about nudging and education (here pointing to her co-authors) @AlfredArcher2 @Bart Engelen— all from @T…,@Bart
0.0,Sat Apr 07 02:58:09 +0000 2018,0.0,1.0,0.0,19,RT @mmsksie: Amanda Cawston talking about nudging and education (here pointing to her co-authors) @AlfredArcher2 @Bart Engelen— all from @T…,@Bart
0.0,Sat Apr 07 02:12:06 +0000 2018,0.0,1.0,0.0,20,@KayaJones This @Bart Hubbach is an asshat!,@Bart
-0.807,Fri Apr 06 22:31:28 +0000 2018,0.278,0.722,0.0,21,Other than the egregious heroin INJECTING at the @BART Civic Center entrance that is the worst thing I have yet to… https://t.co/ctbEz92Qh6,@Bart
0.0,Fri Apr 06 22:10:52 +0000 2018,0.0,1.0,0.0,22,@LiberalLogic123 @Bart then what exactly is the difference between you and a school shooter?,@Bart
0.611,Fri Apr 06 12:32:39 +0000 2018,0.241,0.345,0.414,23,"We congratulate @BartenBeer Big risk low reward!

@SMOI_DEBB @bart https://t.co/qmHp3kbzT3",@Bart
0.0,Fri Apr 06 12:07:22 +0000 2018,0.0,1.0,0.0,24,Amanda Cawston talking about nudging and education (here pointing to her co-authors) @AlfredArcher2 @Bart Engelen—… https://t.co/DeI0qkpROX,@Bart
0.0,Fri Apr 06 10:37:00 +0000 2018,0.0,1.0,0.0,25,"Нехай все необхідне завжди буде поруч: тепло, натхнення та надійна техніка) Фото @bart.kos https://t.co/JSX8QpBXNN",@Bart
0.0,Thu Apr 05 18:57:19 +0000 2018,0.0,1.0,0.0,26,@excelsior_sf @JennyGShao @SRobertsKRON4 @KTVU @kron4 @kpix @abc7newsbayarea @StevenAveson @HeatherKTVU @DionLimTV… https://t.co/Z85rXWVtfm,@Bart
0.052,Thu Apr 05 17:39:08 +0000 2018,0.225,0.631,0.144,27,RT @bart: Doctors shortage + demand &gt; Millennials demand telehealth in a move away from traditional primary care model https://t.co/BXgeTjx…,@Bart
0.0,Thu Apr 05 16:48:49 +0000 2018,0.0,1.0,0.0,28,@LowKeyRider11 @JennyGShao @SRobertsKRON4 @KTVU @kron4 @kpix @abc7newsbayarea @StevenAveson @HeatherKTVU @DionLimTV… https://t.co/igguEEQA7F,@Bart
0.572,Thu Apr 05 16:16:47 +0000 2018,0.0,0.448,0.552,29,Happy Thursday @bart https://t.co/Fd4I8R5Sih,@Bart
